Login,password,address1,address2,pass1,arrive,depart,seatPref,seatType
think,thank,Len st,Moscow,think thank,Paris,Los Angeles,Window,Business
yuriy,mind,green,Boston,yuriy mind,Denver,Zurich,Window,Business
general,barkov,rus,Uziristan, general barkov,London,Portland,Window,Business
semen,uralov,baykalskaya,Mongolia,semen uralov,Portland,San Francisco,Window,Business
timuraz,kasyanov,red,USA,timur kasyanov,Denver,Paris,Window,Business
zaur,hapov,blue,France,zaur hapov,London,Frankfurt,Window,Business
aleksandr,makedonsky,brown,Makedonia,aleksandr makedonsky,Portland,Los Angeles,Window,Business
rus,yasherov,slavyanskya,baykalsk,rus yasherov,Frankfurt,Zurich,Window,Business
bar,stakanov,violet,Mexico,bar stakanov,Paris,Zurich,Window,Business
rulon,oboev,love st,Romania,bar stakanov,Paris,Zurich,None,Coach
